date,real_gdp,gdp_growth,inflation,policy_rate
1970-10-01,5299.672,-4.30942346463965,5.765254529949182,5.566666666666666
1971-01-01,5443.619,10.719666073861587,3.3529115011218025,3.856666666666667
1971-04-01,5473.059,2.1574381048573343,3.6560287757593457,4.566666666666666
1971-07-01,5518.072,3.2763326473940424,3.950649398364625,5.476666666666667
1971-10-01,5531.032,0.9383570608775926,2.9375897023035336,4.75
1972-01-01,5632.649,7.282172009495014,3.238884093047645,3.546666666666667
1972-04-01,5760.47,8.975688803752035,2.5723561321163047,4.3
1972-07-01,5814.854,3.758643829450392,3.19235533240505,4.743333333333333
1972-10-01,5912.22,6.642286891205629,4.112333571627325,5.1466666666666665
1973-01-01,6058.544,9.779244713601544,6.245247862875303,6.536666666666666
1973-04-01,6124.506,4.33143717205553,8.279329686324033,7.816666666666666
1973-07-01,6092.301,-2.108902897416698,7.813922408256957,10.56
1973-10-01,6150.131,3.779015812473574,9.99317219620366,9.996666666666666
1974-01-01,6097.258,-3.4536881924509544,11.727690234575403,9.323333333333332
1974-04-01,6111.751,0.9496598328389894,10.570851614064836,11.25
1974-07-01,6053.978,-3.799093949455568,11.100543152784148,12.089999999999998
1974-10-01,6030.464,-1.556648105128744,12.098226603022688,9.346666666666666
1975-01-01,5957.035,-4.900432919654918,8.459142551326693,6.303333333333334
1975-04-01,5999.61,2.8486372182065622,4.790476418686218,5.419999999999999
1975-07-01,6102.326,6.790217143386457,7.940707421092696,6.16
1975-10-01,6184.53,5.352401073600532,7.303915653101711,5.413333333333334
1976-01-01,6323.649,8.898160921062015,4.557770451187437,4.826666666666667
1976-04-01,6370.025,2.922791705026384,3.5619113371840427,5.196666666666666
1976-07-01,6404.895,2.183659019419082,6.332586086672265,5.283333333333333
1976-10-01,6451.177,2.880021203429095,5.775439634430057,4.873333333333334
1977-01-01,6527.703,4.717010209206052,7.272927633276183,4.66
1977-04-01,6654.466,7.693235161446665,6.921746816045271,5.156666666666666
1977-07-01,6774.457,7.148403098157274,5.4961018567389885,5.82
1977-10-01,6774.592,0.0079710391482024,5.8521769949472,6.513333333333333
1978-01-01,6796.26,1.277326930564726,6.826832374805392,6.756666666666667
1978-04-01,7058.92,15.167841769011403,8.993842941913144,7.283333333333334
1978-07-01,7129.915,4.002899038963648,9.20050783573032,8.1
1978-10-01,7225.75,5.340688777143043,9.19121357522954,9.583333333333334
