date,real_gdp,cpi,policy_rate,baa_treasury_spread,gdp_growth,inflation,target_next_growth
1967-01-01,4870.299,32.96666666666667,4.823333333333333,1.2966666666666666,3.527572719993799,1.0124024640168372,0.24533062826463947
1967-04-01,4873.287,33.166666666666664,3.9899999999999998,1.16,0.24533062826463947,2.419362214352283,3.7665150191052987
1967-07-01,4919.392,33.5,3.893333333333333,1.0833333333333333,3.7665150191052987,4.000033333833386,3.004104190667789
1967-10-01,4956.477,33.86666666666667,4.173333333333333,1.08,3.004104190667789,4.354323058100462,8.075025352778908
1968-01-01,5057.553,34.199999999999996,4.79,1.22,8.075025352778908,3.9177590369149584,6.626302827451269
1968-04-01,5142.033,34.53333333333333,5.983333333333333,1.28,6.626302827451269,3.879758835485525,3.086138255497417
1968-07-01,5181.859,35.0,5.946666666666666,1.4033333333333333,3.086138255497417,5.369208132856151,1.568019021696898
1968-10-01,5202.212,35.43333333333333,5.916666666666667,1.2566666666666666,1.568019021696898,4.921974076151514,6.209278408137919
1969-01-01,5283.597,35.86666666666667,6.566666666666666,1.2,6.209278408137919,4.862144951912839,1.2115790260551762
1969-04-01,5299.625,36.43333333333333,8.326666666666666,1.2333333333333334,1.2115790260551762,6.270298981923439,2.631136814059687
1969-07-01,5334.6,36.93333333333333,8.983333333333333,1.06,2.631136814059687,5.452151652276349,-1.9576187351304952
1969-10-01,5308.556,37.5,8.94,1.0766666666666669,-1.9576187351304952,6.090578932516522,-0.5960106701543566
1970-01-01,5300.652,38.1,8.573333333333332,1.39,-0.5960106701543566,6.349339662516051,0.5664723569900332
1970-04-01,5308.164,38.63333333333333,7.886666666666667,1.2633333333333334,0.5664723569900332,5.560471817976342,3.6689911039523793
1970-07-01,5357.077,39.03333333333333,6.706666666666667,1.95,3.6689911039523793,4.120208103186229,-4.30942346463965
1970-10-01,5299.672,39.6,5.566666666666666,2.4233333333333333,-4.30942346463965,5.765254529949182,10.719666073861589
1971-01-01,5443.619,39.93333333333333,3.856666666666667,2.513333333333333,10.719666073861589,3.3529115011218025,2.1574381048573343
1971-04-01,5473.059,40.300000000000004,4.566666666666666,2.36,2.1574381048573343,3.6560287757593457,3.2763326473940424
1971-07-01,5518.072,40.699999999999996,5.476666666666667,2.22,3.2763326473940424,3.950649398364625,0.9383570608775926
1971-10-01,5531.032,41.0,4.75,2.5233333333333334,0.9383570608775926,2.9375897023035336,7.282172009495014
1972-01-01,5632.649,41.333333333333336,3.546666666666667,2.1999999999999997,7.282172009495014,3.238884093047645,8.975688803752035
1972-04-01,5760.47,41.6,4.3,2.08,8.975688803752035,2.5723561321163047,3.758643829450392
1972-07-01,5814.854,41.93333333333333,4.743333333333333,1.8800000000000001,3.758643829450392,3.19235533240505,6.642286891205629
1972-10-01,5912.22,42.36666666666667,5.1466666666666665,1.62,6.642286891205629,4.112333571627325,9.779244713601543
1973-01-01,6058.544,43.03333333333333,6.536666666666666,1.3633333333333333,9.779244713601543,6.245247862875303,4.33143717205553
1973-04-01,6124.506,43.93333333333334,7.816666666666666,1.2866666666666666,4.33143717205553,8.279329686324033,-2.108902897416698
1973-07-01,6092.301,44.800000000000004,10.56,1.26,-2.108902897416698,7.813922408256957,3.779015812473574
1973-10-01,6150.131,45.93333333333334,9.996666666666666,1.6833333333333333,3.779015812473574,9.993172196203659,-3.4536881924509544
1974-01-01,6097.258,47.29999999999999,9.323333333333332,1.49,-3.4536881924509544,11.727690234575405,0.9496598328389894
1974-04-01,6111.751,48.56666666666666,11.25,1.5200000000000002,0.9496598328389894,10.570851614064836,-3.7990939494555676
1974-07-01,6053.978,49.93333333333334,12.089999999999998,1.8466666666666667,-3.7990939494555676,11.100543152784148,-1.556648105128744
1974-10-01,6030.464,51.46666666666667,9.346666666666666,2.9,-1.556648105128744,12.098226603022688,-4.900432919654918
1975-01-01,5957.035,52.56666666666666,6.303333333333334,3.106666666666667,-4.900432919654918,8.459142551326693,2.8486372182065622
1975-04-01,5999.61,53.199999999999996,5.419999999999999,2.58,2.8486372182065622,4.790476418686218,6.790217143386457
1975-07-01,6102.326,54.26666666666667,6.16,2.2866666666666666,6.790217143386457,7.9407074210926964,5.352401073600532
1975-10-01,6184.53,55.26666666666667,5.413333333333334,2.5166666666666666,5.352401073600532,7.303915653101711,8.898160921062015
1976-01-01,6323.649,55.9,4.826666666666667,2.5033333333333334,8.898160921062015,4.557770451187437,2.922791705026384
1976-04-01,6370.025,56.4,5.196666666666666,2.123333333333333,2.922791705026384,3.5619113371840427,2.183659019419082
1976-07-01,6404.895,57.300000000000004,5.283333333333333,1.89,2.183659019419082,6.332586086672265,2.880021203429095
1976-10-01,6451.177,58.13333333333333,4.873333333333334,2.0233333333333334,2.880021203429095,5.775439634430057,4.717010209206052
1977-01-01,6527.703,59.199999999999996,4.66,1.7533333333333332,4.717010209206052,7.272927633276183,7.693235161446665
1977-04-01,6654.466,60.23333333333333,5.156666666666666,1.6266666666666667,7.693235161446665,6.921746816045271,7.148403098157274
1977-07-01,6774.457,61.06666666666666,5.82,1.4733333333333334,7.148403098157274,5.4961018567389885,0.007971039148202408
1977-10-01,6774.592,61.96666666666667,6.513333333333333,1.3466666666666667,0.007971039148202408,5.8521769949472,1.2773269305647261
1978-01-01,6796.26,63.03333333333333,6.756666666666667,1.1866666666666665,1.2773269305647261,6.826832374805392,15.167841769011403
1978-04-01,7058.92,64.46666666666667,7.283333333333334,1.15,15.167841769011403,8.993842941913144,4.002899038963648
